Actor
ABELL, ALISTAIR
FISHBURNE, LAURENCE
FISHER, CARRIE (I)
FLANAGAN, FIONNULA
FLANERY, SEAN PATRICK
FLECK, JOHN (I)
FLEMING, CARRIE (I)
FLEMMING, PETER (I)
FOCH, NINA
FOLEY, DAVE (I)
FOO, COLIN
FORD, HARRISON (I)
FORREST, FREDERIC
FOSTER, BEN (I)
FOX, COLIN (I)
FOX, DAVID (I)
FRANCIS, ALAN (III)
FRANCIS, ANDREW (I)
FRANCIS, RYAN (I)
FRANZ, ELIZABETH
FREDERICKS, DAVID (I)
FREEMAN, MORGAN (I)
FREWER, MATT
FRIEND, TED
FUNK, NOLAN GERARD
GAINES, BOYD
GALE, LORENA
GALE, VINCENT (I)
GALLAGHER, PETER (I)
GALLIGAN, ZACH
GAMMON, JAMES (I)
GANEEV, RAOUL
GANN, MERRILYN
GARBER, VICTOR
GARCIA, JSU
GARNER, JAMES (I)
GARO, ARMEN
GARRETT, SPENCER (I)
GARSON, WILLIE
GEDRICK, JASON
GENZEL, CARRIE
GEORGE, BRIAN (I)
GERETY, PETER
GIBB, CYNTHIA
GIBSON, MEG
GIBSON, MEL (I)
GILMORE, PATRICK (II)
GIMPEL, ERICA
GLEASON, JOANNA (I)
GLOVER, DANNY (I)
GLOVER, JOHN (I)
GOING, JOANNA
GOLD, L. HARVEY
GOLDBERG, WHOOPI
GOLDBLUM, JEFF
GOLDEN, ANNIE
GOLDWYN, TONY
GONG, LI
GORDEY, KEITH MARTIN
GORE, AL (I)
GORSKI, TAMARA
GOSSETT JR., LOUIS
GOULD, HAROLD (I)
GOULEM, ALAIN
GRANGER, PHILIP
GRANT, DAVID MARSHALL
GRANT, LEE (I)
GRANT, STACY (I)
GRANT, TEACH
GRAY-STANFORD, JASON
GREEN, ALEX (I)
GREEN, SETH (I)
GREENE, GRAHAM (II)
GRIFFIN, JENN
GRIFFITH, JASON (I)
GRILLO, FRANK (I)
GROSS, ARYE
GRUNBERG, GREG
GUGUSHE, BISKI
GUILFOYLE, PAUL (II)
GUINAN, FRANCIS
GYLLENHAAL, JAKE
HA, BENITA (I)
HACKMAN, GENE
HAGAN, ANNA
HAGEN, ROSS
HAGERTY, JULIE
HAHN, ARCHIE
HALEY, JACKIE EARLE
HALL, ANTHONY MICHAEL
HALL, ARSENIO
HALL, DANNY BLANCO
HAMILTON, DEREK (I)
HAMILTON, JOSH (I)
HAMILTON, RICHARD (I)
HANDY, JAMES (I)
HANKS, TOM
HANLON, PETER (I)
HANSON, HEATHER (I)
HARDEN, MARCIA GAY
HARDISON, KADEEM
HARRELL, JAMES N.
HARRELSON, WOODY
HARRINGTON, ADAM (I)
HARRIS, ED (I)
HARRIS, LAURA (II)
HARRIS, ROSEMARY (I)
HARRISON, ANTHONY (I)
HARRISON, MICHELLE (II)
HART, LINDA (I)
HART, ROXANNE
HARTH, C. ERNST
HARVIE, ELLIE
HAUER, RUTGER
HAYES, DERYL
HAYES, ISAAC (I)
HAYES, PHILIP MAURICE
HAYSBERT, DENNIS
HAYWARD, RACHEL
HEALD, ANTHONY
HEARD, JOHN (I)
HEATON, TOM (I)
HEFNER, HUGH M.
HEINDL, SCOTT
HEMINGWAY, MARIEL
HENDERSON, FLORENCE (I)
HENDERSON, STEPHEN (I)
HENRY, BUCK
HENRY, TIM (I)
HEPPELL, COLE
HERRMANN, EDWARD
HERSHEY, BARBARA
HESTON, CHARLTON
HEYERDAHL, CHRISTOPHER
HEYMAN, BARTON
HIGGINS, MICHAEL (I)
HILL, DULÈ
HINDLE, ART
HINGLE, PAT
HIRSCH, JUDD
HITLER, ADOLF
HODGSON, BRYCE
HOFFMAN, DUSTIN
HOLDEN, GINA
HOLDEN, LAURIE
HOLLY, LAUREN
HOLMES, EMILY (I)
HOLNESS, KAREN
HOLT, SANDRINE (I)
HONDRO, MARCUS
HONG, JAMES (I)
HOOTKINS, WILLIAM
HOPE, LESLIE (I)
HOPKINS, ANTHONY (I)
HOPKINS, PAUL (I)
HOPPER, DENNIS
HORSDAL, CHELAH
HORSFORD, ANNA MARIA
HOUDE, SERGE (I)
HOUGHTON, MARK (I)
HOUSTON, GARY (I)
HOWARD, KEN (I)
HOWARD, RON (I)
HUGHES, BARNARD
HUGOT, MARCELINE
HUMPHREY, MARK (I)
HUNT, BONNIE
HUNT, HELEN (I)
HUNT, LINDA (I)
HUNTER, KIM (I)
HURT, WILLIAM
HUTTON, PASCALE
HYATT, PAM
HYLAND, EDWARD JAMES
HYLANDS, SCOTT
IDLETTE, PATRICIA
INNES, JOHN (I)
IRONS, JEREMY
IRVING, AMY (I)
IRWIN, BILL (I)
ITZIN, GREGORY
IVANEK, ZELJKO
IVEY, DANA
IVEY, JUDITH
JACKSON, ANDREW (II)
JACKSON, DEE JAY
JACKSON, ERNIE
JACKSON, JESSE (I)
JACKSON, SAMUEL L.
JAGGER, MICK
JAMES, BRENDA (I)
JAMES, BRION (I)
JARRETT, PAUL (I)
JARSKY, JORIS
JASTRZEMBSKA, CHRISTINA
JEAN, WYCLEF
JEANNIN, MARCEL
JENKINS, RICHARD (I)
JENNINGS, BRENT (I)
JENSEN, BRIAN (I)
JOFFRE, DAN
JOHANSSON, SCARLETT
JOHN, ELTON
JOHNSON, BEN (I)
JOHNSON, BROCK (I)
JOHNSON, ERIC (I)
JOHNSON, LEILA
JOHNSON, P. LYNN
JOHNSON, PENNY (I)
JOHNSTON, ANDREW (II)
JOHNSTON, SHAUN (I)
JONES, GARY (I)
JONES, JAMES EARL
JONES, MICKEY (I)
JONES, TY (I)
JORDAN, DON (I)
JOSHUA, LARRY
JOY, ROBERT (I)
KAISER, SUKI
KALUGIN, ALEXANDER
KANAGAWA, HIRO
KANE, CAROL (I)
KAPELOS, JOHN
KARPLUK, ERIN
KATSULAS, ANDREAS
KAVADAS, ANDREW
KAVNER, JULIE
KEAN, GREG
KEATING, DOMINIC
KEATING, FRED (II)
KEATON, DIANE
KEENLEYSIDE, ERIC
KEITEL, HARVEY
KELLERMAN, SALLY
KELLY, BRAD (I)
KELLY, DAVID PATRICK
KELLY, LISA ROBIN
KELLY, MATTHEW ROBERT
KELLY, TERENCE (I)
KELSEY, TAMSIN
KENNEDY, GEORGE (I)
KENNEDY, JACQUELINE (I)
KENNEDY, JOHN F.
KENNEDY, MIMI
KENNEDY, ROBERT F.
KERRY, JOHN (III)
KERSHAW, ANNABEL
KERTON, PATRICK
KIDDER, MARGOT
KIDNIE, JAMES
KILMER, VAL
KILNER, KEVIN
KILPATRICK, PATRICK
KIND, RICHARD
KING, ALAN (I)
KING, MARTIN LUTHER
KINNEY, TERRY
KIRKPATRICK, KATHRYN
KIRKWOOD, DENNY
KIRZINGER, KEN
KITT, EARTHA
KNIGHTLEY, KEIRA
KOBER, JEFF
KONDRASHOFF, KIM
KONOVAL, KARIN
KOPSA, MICHAEL
KORMAN, HARVEY
KOSTERMAN, MITCHELL
KOSTYUK, TARAS
KRAMER, KEN (I)
KRISTOFFERSON, KRIS (I)
KROWCHUK, CHAD
KURTZ, MARCIA JEAN
KURTZ, SWOOSIE
KUZYK, MIMI
LABELLE, ROB
LABINE, TYLER
LACROIX, PETER
LAHTI, CHRISTINE (I)
LANDAU, MARTIN
LANDERS, MATT
LANE, CAMPBELL
LANE, NATHAN (I)
LANG, STEPHEN (I)
LANGELLA, FRANK
LANSBURY, ANGELA
LASSER, LOUISE
LAURIE, DARCY
LAWRENCE, COLIN (I)
LEACHMAN, CLORIS
LEAKE, DAMIEN
LEARY, TIMOTHY
LEBLANC, PIERRE (I)
LEDFORD, BRANDY
LEE, CHRISTOPHER (I)
LEE, JASON SCOTT
LEE, KAIULANI
LEGUIZAMO, JOHN
LEHMAN, KRISTIN
LEIBMAN, RON
LEMMON, JACK
LENNON, JOHN (I)
LENO, JAY
LENOIR, PIERRE (II)
LETTERMAN, DAVID
LEVY, PHILIP (I)
LEWIS, DAVID (IV)
LEWIS, GEOFFREY (I)
LEWIS, RICHARD (II)
LEWIS, ROBERT (II)
LI, JET
LIBERTINI, RICHARD
LINDE, BETTY
LINNEY, LAURA
LIPTON, PEGGY
LITHGOW, JOHN (I)
LITTLE RICHARD
LIU, LUCY (I)
LLOYD, CHRISTOPHER (I)
LO BIANCO, TONY
LONGWORTH, DAVID
LOPEZ, FREDRICK
LOUGH HAGGQUIST, CATHERINE
LOVGREN, DAVID
LOWE, CHAD (I)
LOWE, JOHN B. (I)
LU, LISA (I)
LUCAS, DONNY JAMES
LUCAS, GEORGE (I)
LUND, JORDAN
LYMAN, WILL
LYNCH, JANE (I)
LYNDECK, EDMUND
MACARIO, MIG
MACDONALD, WILLIAM (II)
MACKAY, DON (I)
MACKENZIE, J.C.
MACLACHLAN, JANET
MACLAINE, SHIRLEY
MACLAREN, JOHN (I)
MADIGAN, AMY (I)
MADSEN, VIRGINIA
MAHAFFEY, VALERIE
MAHONEY, JOHN (I)
MAILER, STEPHEN
MALKOVICH, JOHN
MALTHE, NATASSIA
MANCUSO, NICK (I)
MANDELA, NELSON
MANKUMA, BLU
MANN, JOHN (II)
MANN, MICHAELA
MARCH, CRAIG (I)
MARGULIES, DAVID (I)
MARGULIES, JULIANNA
MARIN, CHEECH
MARKINSON, BRIAN
MARSH, WALTER
MARTIN, CHRIS WILLIAM
MARTIN, HELEN (II)
MARTIN, RALPH P.
MARTIN, STEVE (I)
MARTINEZ, A
MARTINEZ, ALMA (I)
MARVEL, ELIZABETH
MASTERSON, CHRISTOPHER (I)
MASTERSON, DANNY
MATCHETT, KARI
MATHEWS, HROTHGAR
MATTHAU, WALTER
MATTHEWS, DAKIN
MAXIE, JUDITH
MAY, JOSEPH
MCCARTHY, ANDREW (I)
MCCARTHY, BART (I)
MCCARTHY, FRANCIS X.
MCCARTHY, JOSEPH (II)
MCCARTHY, KEVIN (I)
MCCARTNEY, PAUL
MCCLANAHAN, RUE
MCCLURG, EDIE
MCDANIEL, JAMES (I)
MCDERMOTT, DYLAN
MCDONALD, BRENDA (I)
MCDOWALL, RODDY
MCGILL, BRUCE
MCGRAW, MELINDA
MCHATTIE, STEPHEN
MCINTOSH, YANNA
MCKENZIE, DEAN (I)
MCKINNEY, BILL (I)
MCNULTY, KEVIN (I)
MCQUAID, KENT
MCRANEY, GERALD
MCROBBIE, PETER
MCSHANE, IAN
MEARA, ANNE
MEDEIROS, MICHAEL (I)
MEGILL, SHEELAH
MEHLER, TOBIAS
MENDILLO, STEPHEN
MEREDITH, BURGESS
MERKERSON, S. EPATHA
MERRILL, DINA
MESTRONI, CARLO
MICHAEL, RYAN (I)
MIDCAP, DAGMAR
MIDDLETON, CLARK
MIDLER, BETTE
MILLER, STEPHEN E. (I)
MILLIGAN, DUSTIN (I)
MINKOFF, ROBERT
MIRREN, HELEN
MITCHELL, PHILLIP (I)
MODINE, MATTHEW
MOFFAT, DONALD
MOFFETT, D.W.
MOLONEY, ROBERT (I)
MONDY, BILL
MONK, DEBRA
MOORE, ANGELA (I)
MOORE, DARREN (I)
MOORE, DEMI
MOORE, FRANK (I)
MOORE, ROGER (I)
MOORE, SHEILA (I)
MORENO, RITA (I)
MORIARTY, MICHAEL (I)
MORRIS, HAVILAND
MORRIS, KATHRYN (I)
MORSE, RALPH (I)
MORTON, AMY (I)
MORTON, JOE (I)
MOSES, MARK
MOSS, JESSE (II)
MUELLERLEILE, MARIANNE
MULLALLY, MEGAN
MULLIGAN, TERRY DAVID
MUNRO, LOCHLYN
MURDOCH, LAURIE (I)
MURDOCK, GEORGE (I)
MURPHY, MICHAEL (I)
MUSSER, LARRY
MUÒOZ, NICOLE (I)
NATWICK, MYRON (II)
NAUGHTON, JAMES
NEALE, DAVID (I)
NELLIGAN, KATE
NELSON, DANNY (I)
NELSON, WILLIE (I)
NEUMANN JR., LARRY
NEWHART, BOB
NEWMAN, PAUL (I)
NICHOLSON, JACK (I)
NIELSEN, LESLIE
NIELSEN, ROBIN (I)
NIXON, CYNTHIA
NIXON, RICHARD
NORDLING, JEFFREY
NORTH, ALAN (I)
NORTHAM, JEREMY
NORTHEY, MICHAEL P.
NOSEWORTHY, JACK
NOTH, CHRIS
NOVAK, JOHN (I)
NYKL, DAVID
O'BRIEN, BRENNA (II)
O'BRIEN, CONAN
O'DONNELL, ROSIE
O'NEILL, JENNIFER (I)
ODELL, DEBORAH
OKUMOTO, YUJI
OLMOS, EDWARD JAMES
OLSSON, TY
ONTIVEROS, LUPE
ORTH, DAVID (I)
OVERTON, KELLY (I)
OYARZUN, ALONSO
OZ, FRANK
PALANCE, JACK
PARK, STEPHEN (I)
PARKER, DAVID (IV)
PARKER, LENI
PARKER, MOLLY (I)
PARKER, SARAH JESSICA
PARTON, DOLLY
PASTKO, EARL
PATERSON, SHEILA
PATINKIN, MANDY
PATTERSON, JAY (I)
PATZWALD, JULIE
PAUNOVIC, ALEKS
PAYNE, CHARLES (II)
PEABODY, DOSSY
PEARL, AARON
PECK, GREGORY
PEDDE, EILEEN
PENDLETON, AUSTIN
PENN, SEAN (I)
PEREZ, TIMOTHY PAUL
PESCI, JOE
PETERS, BERNADETTE
PETERS, CLARKE
PETERSON, ALAN C.
PFEIFFER, DEDEE
PHILLIPS, BETTY (I)
PHILLIPS, MICHELLE (I)
PICARDO, ROBERT
PILL, ALISON
PILON, DANIEL (I)
PITONIAK, ANNE
PLATT, OLIVER
PLEASENCE, DONALD
PLIMPTON, GEORGE (I)
PLUMMER, GLENN
PLUNKETT, GERARD
PLUNKETT, MARYANN
PODHORA, ROMAN
POGUE, KEN
POITIER, SIDNEY
POLIZOS, VIC
POLLACK, SYDNEY
PORTNOW, RICHARD
POUNDER, CCH
PRESLEY, ELVIS
PRESTON, CYNTHIA
PRICE, CONNOR (I)
PRICE, VINCENT (I)
PRICE-FRANCIS, AMY
PRIMUS, BARRY (I)
PULLMAN, BILL (I)
PURCELL, JAMES
PUTTONEN, MICHAEL
PYPER-FERGUSON, JOHN
QUIJADA, ALFONSO
QUINN, AIDAN (I)
QUINN, J.C.
QUON, DARRYL
RACHINS, ALAN
RADLEY, XANTHA
RAE, ALEJANDRO
RAE, JAMES
RASHAD, PHYLICIA
RATCHFORD, JEREMY
RATHER, DAN
RATNER, BENJAMIN
REAGAN, RONALD (I)
REDFORD, ROBERT (I)
REDGRAVE, VANESSA
REDMAN, CHRISTOPHER (I)
REDMAN, DEAN
REDMOND, SARAH-JANE
REED, LOU
REED, PAMELA
REEVE, CHRISTOPHER
REEVES, KEANU
REICHERT, TANJA
REINER, CARL
REINER, ROB
REINHOLD, JUDGE
REIS, SHAWN (I)
REITER, DONOVAN
RENNIE, CALLUM KEITH
RENNISON, COLLEEN
REYNOLDS, BURT (I)
REYNOLDS, DEBBIE (I)
RHAMES, VING
RHODES, DONNELLY
RICHARDS, KEITH (II)
RICHMOND, DEON
RIDGELY, ROBERT
RIEGERT, PETER
RIFKIN, RON
RILEY, CLAIRE (I)
RISTIC, SUZANNE
RITTER, JOHN
RIVERS, JOAN
ROBARDS, JASON
ROBBINS, KATE (II)
ROBBINS, TIM (I)
ROBEK, KIRSTEN
ROBERDS, MICHAEL
ROBERTS, DORIS
ROBERTS, ERIC (I)
ROBERTS, JULIA (I)
ROBERTS, KEN (VI)
ROBERTSON, CLIFF (I)
ROBINSON, ANDREW (I)
ROBITAILLE, RICHARD
ROCHÈ, SEBASTIAN
ROCK, CHRIS (I)
ROGERS, MICHAEL (V)
ROLLE, ESTHER
ROLSTON, MARK
ROMANO, RAY (I)
ROONEY, MICKEY (I)
ROSE, GABRIELLE
ROSS, RICCO
ROTHERY, TERYL
ROWE, NICHOLAS (I)
ROY, MAXIM
RUBINEK, SAUL
RUBINSTEIN, JOHN
RUBINSTEIN, ZELDA
RUGINIS, VYTO
RYDER, WINONA
SADLER, WILLIAM (I)
SAINT, EVA MARIE
SALENGER, MEREDITH
SALI, RICHARD
SAMPSON, JOHN (I)
SANDERS, ALVIN
SANDERS, JAY O.
SANDERSON, WILL
SANDERSON, WILLIAM
SANFORD, GARWIN
SANTIAGO, ZAK
SARANDON, SUSAN
SARRAZIN, MICHAEL
SAULNIER, TANIA
SAUNDERS, KENDALL
SAUNDERS, ROBERT (II)
SAVENKOFF, ELIZABETH CAROL
SAXON, JOHN
SAXON, ROLF
SCARFE, JONATHAN
SCHEINE, RAYNOR
SCHIAVELLI, VINCENT
SCHMIDTKE, NED
SCHOLTE, TOM (I)
SCHOMBING, JASON
SCHORPION, FRANK
SCHREIBER, LIEV
SCHULTZ, ALBERT (I)
SCHWARTZMAN, JASON
SCHWARZENEGGER, ARNOLD
SCORSESE, MARTIN (I)
SCOTT, CAMPBELL
SCOTT, LARRY B.
SCOTT, MALCOLM (IV)
SEAGAL, STEVEN
SEDGWICK, KYRA
SEIBEL, MARY
SELMOUR, RON
SERANO, GREG
SERNA, PEPE
SERRA, RAYMOND
SHANDLING, GARRY
SHARPTON, AL
SHAVER, HELEN
SHAW, JOHN (I)
SHAW, STAN (I)
SHEEDY, ALLY
SHEPPARD, WILLIAM MORGAN
SHIELDS, CHRIS (I)
SHIMONO, SAB
SHINKODA, PETER
SHIRKOFF, BETHOE
SHORT, MARTIN (I)
SHUTTLEWORTH, DARYL
SIEGEL, CHARLES (I)
SILVER, RON (I)
SIMMS, MICHAEL DAVID
SINGER, LEÛN
SINISE, GARY
SIVAK, NANCY
SKARSGÂRD, STELLAN
SKERRITT, TOM (I)
SKYE, IONE
SMIAR, BRIAN
SMITH, ANNA DEAVERE
SMITH, CAMERON K.
SMITH, LAUREN LEE
SMITH, LOIS (I)
SMITROVICH, BILL
SNYDER, RICK (I)
SOMMER, JOSEF
SONGUI, KWASI
SOOD, MANOJ
SORVINO, MIRA
SOWERBY, JANE
SPACEY, KEVIN
SPENCE, SEBASTIAN
SPIELBERG, STEVEN
SPINER, BRENT
ST. JOHN SMITH, MICHAEL
ST. THOMAS, CLAY
STAIT, BRENT
STAMP, TERENCE
STARR, BEAU
STEENBURGEN, MARY
STEIGER, ROD
STENBORG, HELEN
STERNHAGEN, FRANCES
STEUART, JACQUELINE ANN
STEWART, MALCOLM (I)
STIERS, DAVID OGDEN
STILLER, BEN
STILLER, JERRY
STOCKWELL, DEAN
STOLTZ, ERIC
STONE, JULIAN (I)
STONE, SAM (I)
STOREY, HOWARD
STRANGE, SARAH
STRATHAIRN, DAVID
STREEP, MERYL
STREISAND, BARBRA
STRITCH, ELAINE
SUTHERLAND, DONALD (I)
SWANSON, SCOTT (I)
TAGAWA, CARY-HIROYUKI
TAYLOR, HOLLAND
TAYLOR, JOHN R. (I)
TAYLOR, LILI (I)
TAYLOR, REGINA (I)
TENCH, JOHN
TERZO, VENUS
TESCH, INGRID (I)
THIGPEN, LYNNE
THOMPSON, DON (I)
THOMPSON, IAN (VII)
THORNTON, DAVID (I)
THURSTON, ROBERT (II)
TICKNER, FRENCH
TIRELLI, JAIME
TOBOLOWSKY, STEPHEN
TOMLIN, LILY
TOOLAN, REBECCA
TOPOR, JOHN
TORN, RIP
TORRANCE, INGRID
TOUSEY, SHEILA
TOWNSEND, ROBERT (I)
TRACEY, IAN
TSAR, MIKE
TUCCI, STANLEY (I)
TUPPER, REG
TURMAN, GLYNN
TURNER, FRANK C. (I)
TURNER, KATHLEEN (I)
TURTON, KETT
TYSON, BARBARA
ULC, ANTHONY
ULLMAN, TRACEY
